[2026-03-22T16:55:44.405+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-03-22T16:55:44.421+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: tmdb_raw_pipeline.trigger_stage manual__2026-03-22T16:55:13.015774+00:00 [queued]>
[2026-03-22T16:55:44.424+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: tmdb_raw_pipeline.trigger_stage manual__2026-03-22T16:55:13.015774+00:00 [queued]>
[2026-03-22T16:55:44.424+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2026-03-22T16:55:48.470+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1746 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.470+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:1817 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.471+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2093 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.471+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2183 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.472+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2482 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.473+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:2548 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.519+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4365 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.523+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4481 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.525+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4516 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.531+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4580 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.535+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4623 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.537+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:4678 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.561+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5689 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.566+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5755 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.566+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5800 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.567+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:5861 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.572+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:6986 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.573+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7051 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.574+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7096 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.580+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7151 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.587+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7588 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.590+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7661 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.591+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7832 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.592+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7903 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.593+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:7952 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.593+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8019 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.631+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8812 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.632+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8877 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.632+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8921 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.633+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:8972 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.642+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:10035 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.643+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:10096 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.675+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11122 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.676+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11183 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.676+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11224 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.676+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11284 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.678+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11529 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.679+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11590 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.681+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11631 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.683+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11692 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.691+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11855 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.696+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:11911 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.704+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12053 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.709+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12115 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.732+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:12932 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.734+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13034 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.734+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13105 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.738+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13196 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.740+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13694 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.741+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13770 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.741+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13823 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.742+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:13889 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.745+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14277 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.745+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14337 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.746+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14377 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.746+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14431 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.747+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14727 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.748+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14807 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.748+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14863 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.749+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:14924 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.750+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:15178 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.751+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:15249 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.757+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16131 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.757+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16203 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.757+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16252 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.758+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16308 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.760+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16668 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.760+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:16729 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.763+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17551 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.765+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17613 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.766+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17655 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.766+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17728 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.767+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17884 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.767+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17945 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.767+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:17986 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.768+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18056 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.768+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18196 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.768+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:18257 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.781+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21223 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.799+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21283 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.801+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21852 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.802+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21916 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.802+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:21959 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.803+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22018 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.831+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22324 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.832+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22390 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.833+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22435 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.834+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22500 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.834+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22636 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.834+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:22697 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.839+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23166 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.842+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23234 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.853+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23579 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.854+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23651 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.855+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23700 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.855+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:23756 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.857+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24097 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.857+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24169 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.857+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24218 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.858+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24274 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.861+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24543 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.861+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24604 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.862+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24931 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.865+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:24986 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.870+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27411 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.870+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27471 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.871+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27511 SyntaxWarning: invalid escape sequence '\d'
[2026-03-22T16:55:48.871+0000] {logging_mixin.py:188} WARNING - /home/airflow/.local/lib/python3.12/site-packages/azure/mgmt/datafactory/models/_models_py3.py:27567 SyntaxWarning: invalid escape sequence '\d'
